City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hirara,24.8,125.2833,80.87,65,40,8.05,JP,1702617922
1,bethel,41.3712,-73.414,36.64,69,0,5.75,US,1702617922
2,utrik,11.2278,169.8474,80.83,79,72,19.6,MH,1702617922
3,puerto ayora,-0.7393,-90.3518,75.09,91,79,7.02,EC,1702617922
4,grytviken,-54.2811,-36.5092,37.72,68,2,3.87,GS,1702617923
5,landskrona,55.8708,12.8302,39.15,98,68,6.67,SE,1702617923
6,klyuchi,52.2667,79.1667,-2.65,70,27,1.83,RU,1702617923
7,scottburgh,-30.2867,30.7532,69.13,71,100,11.7,ZA,1702617923
8,ushuaia,-54.8,-68.3,44.26,81,20,6.91,AR,1702617923
9,udachny,66.4167,112.4,-22.56,74,99,4.97,RU,1702617923
10,puerto natales,-51.7236,-72.4875,39.25,92,90,3.44,CL,1702617923
11,petropavlovsk-kamchatsky,53.0452,158.6483,23.59,73,75,27.0,RU,1702617888
12,port elizabeth,-33.918,25.5701,65.32,89,40,8.05,ZA,1702617887
13,floro,61.5996,5.0328,46.36,81,75,17.27,NO,1702617924
14,margaret river,-33.95,115.0667,74.44,41,3,14.63,AU,1702617814
15,brookings,44.3114,-96.7984,42.06,81,100,4.0,US,1702617924
16,port lincoln,-34.7333,135.8667,67.12,54,6,14.97,AU,1702617924
17,red bank,40.3471,-74.0643,39.04,62,0,8.05,US,1702617924
18,adamstown,-25.066,-130.1015,73.62,84,28,13.27,PN,1702617924
19,barah,13.7,30.3667,61.79,33,4,8.9,SD,1702617924
20,mirandela,41.4874,-7.187,42.3,84,4,2.17,PT,1702617925
21,olonkinbyen,70.9221,-8.7187,30.38,76,98,19.17,SJ,1702617925
22,ancud,-41.8697,-73.8203,54.82,78,100,22.64,CL,1702617925
23,qaqortoq,60.7167,-46.0333,-3.35,73,2,6.98,GL,1702617925
24,aasiaat,68.7098,-52.8699,-7.49,98,83,10.07,GL,1702617926
25,port-aux-francais,-49.35,70.2167,43.0,89,86,26.02,TF,1702617926
26,belmonte,-15.8631,-38.8828,75.4,85,4,4.59,BR,1702617926
27,whitehorse,60.7161,-135.0538,32.77,93,100,10.36,CA,1702617798
28,dellys,36.9172,3.9131,56.16,65,8,7.49,DZ,1702617927
29,touros,-5.1989,-35.4608,77.76,82,53,11.23,BR,1702617927
